Course,DayOfWeek,TimeSlot,AttendanceRate
DBMS,Wednesday,09:00,76.46
DS,Friday,10:00,92.39
OOP,Monday,11:00,77.13
IoT,Thursday,12:00,81.19
MFA,Tuesday,13:00,87.91
DBMS,Wednesday,09:00,75.0
DS,Friday,10:00,90.0
OOP,Monday,11:00,78.0
IoT,Thursday,12:00,82.0
MFA,Tuesday,13:00,85.0
DBMS,Wednesday,09:00,77.0
DS,Friday,10:00,91.0
OOP,Monday,11:00,76.0
IoT,Thursday,12:00,83.0
MFA,Tuesday,13:00,88.0
IoT,Tuesday,10:00,80.91268251340958
IoT,Tuesday,13:00,71.75167361061082
IoT,Friday,10:00,77.3386813303778
OOP,Thursday,12:00,76.07954673822692
DS,Tuesday,10:00,92.64858483294282
IoT,Thursday,10:00,95.62627063429308
MFA,Monday,10:00,89.67195461869623
IoT,Tuesday,13:00,84.05100681550559
IoT,Thursday,11:00,88.97157399601548
MFA,Friday,13:00,74.14632681382524
OOP,Friday,11:00,90.72181910419093
MFA,Wednesday,12:00,93.84954370887871
DS,Tuesday,09:00,81.73473417367848
MFA,Monday,12:00,86.61849676510438
DS,Thursday,11:00,73.12658868377032
IoT,Monday,09:00,89.11410171190285
DBMS,Friday,13:00,92.80362964087355
DBMS,Friday,09:00,71.79373540604826
DS,Thursday,09:00,75.02418139610614
OOP,Thursday,13:00,85.30771864233533
IoT,Thursday,13:00,99.88600826275228
DS,Monday,13:00,98.39823719605548
MFA,Thursday,13:00,85.3188561591021
DBMS,Wednesday,12:00,93.74534197132041
IoT,Tuesday,12:00,99.65395025730842
MFA,Wednesday,10:00,93.09815589543024
OOP,Tuesday,09:00,70.54247537816119
IoT,Friday,09:00,72.35156156035566
OOP,Tuesday,13:00,94.1408829549296
MFA,Wednesday,09:00,78.72483790010114
OOP,Tuesday,13:00,92.25830405030331
MFA,Monday,09:00,93.62600786825834
MFA,Thursday,13:00,91.73200902365011
DS,Tuesday,10:00,78.65747327585942
IoT,Friday,09:00,88.59753919008692
DS,Monday,11:00,90.95325406436862
DS,Friday,10:00,94.77623844280492
OOP,Thursday,11:00,75.36600939387029
MFA,Friday,11:00,91.11858229183547
OOP,Friday,12:00,98.91132675718059
MFA,Thursday,12:00,72.70871920556813
MFA,Friday,09:00,80.46716937668407
OOP,Wednesday,09:00,85.70372879381115
DBMS,Wednesday,09:00,74.64746974853783
OOP,Monday,10:00,82.2108623088
MFA,Wednesday,12:00,84.86300089323137
IoT,Tuesday,13:00,89.49315320824691
MFA,Wednesday,12:00,97.19100758415495
MFA,Friday,10:00,73.67267142311351
MFA,Friday,13:00,85.84221259446942
DS,Friday,10:00,90.19984576760153
OOP,Monday,12:00,99.62888591619084
DS,Wednesday,09:00,78.5043530179226
OOP,Monday,10:00,99.30299487484618
OOP,Thursday,12:00,95.97816039655645
IoT,Monday,11:00,82.98361439476089
OOP,Thursday,12:00,71.53708889677195
DS,Thursday,13:00,71.51528657959797
OOP,Wednesday,10:00,71.56347096136159
OOP,Wednesday,11:00,84.9444646627403
DS,Thursday,09:00,98.78460033667687
IoT,Tuesday,09:00,98.74429377696099
DS,Friday,11:00,96.50981337328102
DS,Thursday,11:00,82.79932680780504
DS,Tuesday,13:00,80.75694263586561
DBMS,Friday,09:00,86.69611367731497
OOP,Tuesday,11:00,88.2305486992735
OOP,Thursday,09:00,72.30695079724504
DS,Tuesday,09:00,83.30093826617593
DS,Tuesday,10:00,79.73304710129383
DBMS,Friday,09:00,77.63049441619208
OOP,Monday,13:00,92.14512607229076
IoT,Thursday,09:00,85.75172941174212
MFA,Monday,10:00,75.47521167564724
IoT,Tuesday,12:00,77.00495658774167
IoT,Monday,09:00,88.99761177259997
OOP,Friday,10:00,86.43504043460386
DBMS,Thursday,09:00,72.89873360367072
DS,Tuesday,13:00,99.33427525101833
OOP,Tuesday,12:00,82.40762777317389
OOP,Thursday,13:00,95.85731007258488
DS,Friday,09:00,81.28513356123804
DBMS,Tuesday,12:00,94.22607196726425
DS,Monday,11:00,96.20141210356499
DS,Monday,11:00,82.25930280441295
DS,Thursday,10:00,85.66444011787965
DS,Thursday,10:00,73.27673004884079
MFA,Friday,10:00,81.78937996777907
OOP,Tuesday,09:00,72.89698497847928
OOP,Thursday,09:00,93.6686769083799
